Course ID,Course Name,Course URL,Language,Category,Sub Category,Avg Rating,Enrollment,Hours Of Video,Instructor Name,Approved Date,Update Date
657932,Unreal Engine C++ Developer: Learn C++ and Make Video Games,https://www.udemy.com/unrealcourse,en,Development,Game Development,4.58,"211,741",48.35,Ben Tristem,11/3/15,4/7/20
437398,Build Responsive Real World Websites with HTML5 and CSS3,https://www.udemy.com/design-and-develop-a-killer-website-with-html5-and-css3,en,Development,Web Development,4.56,"156,962",11.86,Jonas Schmedtmann,3/24/15,3/30/20
543600,Automate the Boring Stuff with Python Programming,https://www.udemy.com/automate,en,Development,Programming Languages,4.61,"457,117",9.52,Al Sweigart,9/21/15,4/1/20
764164,The Complete Web Developer Course 2.0,https://www.udemy.com/the-complete-web-developer-course-2,en,Development,Web Development,4.55,"254,642",30.44,Rob Percival,3/8/16,1/29/20
922484,The Complete Node.js Developer Course (3rd Edition),https://www.udemy.com/the-complete-nodejs-developer-course-2,en,Development,Programming Languages,4.67,"160,558",35.02,Andrew Mead,10/4/16,4/23/20
1436092,React Native - The Practical Guide 2020,https://www.udemy.com/react-native-the-practical-guide,en,Development,Mobile Apps,4.67,"71,548",29.09,Academind by Maximilian Schwarzmüller,11/29/17,4/20/20
396876,Learning Python for Data Analysis and Visualization,https://www.udemy.com/learning-python-for-data-analysis-and-visualization,en,Development,Programming Languages,4.27,"150,289",21.02,Jose Portilla,3/9/15,9/4/19
995016,Vue JS 2 - The Complete Guide (incl. Vue Router & Vuex),https://www.udemy.com/vuejs-2-the-complete-guide,en,Development,Web Development,4.7,"114,605",19.84,Maximilian Schwarzmüller,11/8/16,12/17/19
822444,Python and Django Full Stack Web Developer Bootcamp,https://www.udemy.com/python-and-django-full-stack-web-developer-bootcamp,en,Development,Web Development,4.51,"103,912",31.85,Jose Portilla,2/24/17,9/4/19
1134722,現役シリコンバレーエンジニアが教えるPython 3 入門 + 応用 +アメリカのシリコンバレー流コードスタイル,https://www.udemy.com/python-beginner,ja,Development,Programming Languages,4.44,"37,717",28.51,酒井 潤 （さかい じゅん）,11/3/17,2/24/20
1793828,Docker and Kubernetes: The Complete Guide,https://www.udemy.com/docker-and-kubernetes-the-complete-guide,en,Development,Development Tools,4.6,"93,468",21.47,Stephen Grider,8/21/18,4/27/20
1879018,"NodeJS - The Complete Guide (incl. MVC, REST APIs, GraphQL)",https://www.udemy.com/nodejs-the-complete-guide,en,Development,Programming Languages,4.69,"68,327",34.53,Academind by Maximilian Schwarzmüller,10/23/18,4/24/20
2508942,JavaScript - The Complete Guide 2020 (Beginner + Advanced),https://www.udemy.com/javascript-the-complete-guide-2020-beginner-advanced,en,Development,Programming Languages,4.61,"31,753",50.34,Academind by Maximilian Schwarzmüller,10/29/19,4/7/20
765242,R Programming A-Z™: R For Data Science With Real Exercises!,https://www.udemy.com/r-programming,en,Development,Data Science,4.59,"153,012",10.57,Kirill Eremenko,2/23/16,4/21/20
1026604,"Advanced CSS and Sass: Flexbox, Grid, Animations and More!",https://www.udemy.com/advanced-css-and-sass,en,Development,Web Development,4.77,"86,539",28.08,Jonas Schmedtmann,10/24/17,12/2/19
2511476,Complete Machine Learning and Data Science: Zero to Mastery,https://www.udemy.com/complete-machine-learning-and-data-science-zero-to-mastery,en,Development,Data Science,4.61,"14,172",42.26,Andrei Neagoie,1/16/20,4/27/20
705264,Modern React with Redux [2020 Update],https://www.udemy.com/react-redux,en,Development,Web Development,4.65,"172,268",47.5,Stephen Grider,1/5/16,4/12/20
2365628,"Complete React Developer in 2020 (w/ Redux, Hooks, GraphQL)",https://www.udemy.com/complete-react-developer-zero-to-mastery,en,Development,Web Development,4.66,"34,322",39.53,Andrei Neagoie,7/1/19,4/27/20
1405812,The Complete Android Oreo Developer Course - Build 23 Apps!,https://www.udemy.com/the-complete-android-oreo-developer-course,en,Development,Mobile Apps,4.43,"49,059",37.43,Rob Percival,12/4/17,1/29/20
2782800,20 Web Projects With Vanilla JavaScript,https://www.udemy.com/web-projects-with-vanilla-javascript,en,Development,Web Development,4.8,"10,917",16.12,Brad Traversy,1/28/20,1/28/20
647428,Spring & Hibernate for Beginners (includes Spring Boot),https://www.udemy.com/spring-hibernate-tutorial,en,Development,Programming Languages,4.58,"121,844",40.79,Chad Darby,5/27/16,4/20/20
